Country_Name,Country_Code,Continent,Birth_rate_60,Death_rate_60,Birth_rate_90,Death_rate_90,Birth_rate_15,Death_rate_15
Cameroon,CMR,Sub-Saharan Africa,42.818,22.324,44.673,13.965,36.233,11.197
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,46.651,22.794,47.71,16.861,41.527,10.096
"Congo, Rep.",COG,Sub-Saharan Africa,42.489,17.127,38.21,12.33,36.028,8.308
Colombia,COL,Latin America & Caribbean,44.904,12.198,26.401,6.158,15.483,5.93
Comoros,COM,Sub-Saharan Africa,48.544,23.558,42.593,11.407,33.433,7.38
Cabo Verde,CPV,Sub-Saharan Africa,48.011,20.117,40.147,8.039,21.108,5.344
Costa Rica,CRI,Latin America & Caribbean,44.558,10.045,26.615,4.015,14.524,4.889
Cuba,CUB,Latin America & Caribbean,31.95,8.83,16.79,6.996,10.089,7.929
Cyprus,CYP,Europe & Central Asia,25.558,7.506,19.048,6.988,11.206,6.897
Czech Republic,CZE,Europe & Central Asia,13.4,9.8,12.6,12.5,10.5,10.5
Germany,DEU,Europe & Central Asia,17.3,12,11.4,11.6,9,11.3
Djibouti,DJI,Middle East & North Africa,43.595,18.24,40.002,10.62,24.721,8.551
Denmark,DNK,Europe & Central Asia,16.6,9.5,12.3,11.9,10.2,9.2
Dominican Republic,DOM,Latin America & Caribbean,51.889,16.053,29.809,6.289,20.506,6.087
Algeria,DZA,Middle East & North Africa,49.671,20.341,32.132,6.307,23.692,5.114
Ecuador,ECU,Latin America & Caribbean,44.27,15.554,30.077,6.172,20.487,5.119
"Egypt, Arab Rep.",EGY,Middle East & North Africa,46.605,19.387,33.348,8.536,27.298,6.066
Eritrea,ERI,Sub-Saharan Africa,48.011,25.356,42.972,15.074,33.393,6.408
Spain,ESP,Europe & Central Asia,21.7,8.6,10.3,8.6,9,9
Estonia,EST,Europe & Central Asia,16.7,10.5,14.2,12.4,10.6,11.6
Ethiopia,ETH,Sub-Saharan Africa,47.821,25.001,47.504,18.129,31.906,7.198
Finland,FIN,Europe & Central Asia,18.5,9,13.1,10,10.1,9.6
Fiji,FJI,East Asia & Pacific,45.415,11.54,28.891,6.29,19.688,6.982
France,FRA,Europe & Central Asia,18.7,11.4,13.4,9.3,12,9
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,43.567,11.696,34.004,6.533,23.571,6.149
Gabon,GAB,Sub-Saharan Africa,32.86,25.642,37.113,11.005,29.718,8.391
United Kingdom,GBR,Europe & Central Asia,17.5,11.5,13.9,11.2,11.9,9.3
Georgia,GEO,Europe & Central Asia,25.676,13.066,16.923,9.488,13.359,11.533
Ghana,GHA,Sub-Saharan Africa,46.808,18.435,38.961,10.898,32.262,8.821
Guinea,GIN,Sub-Saharan Africa,46.05,29.665,46.505,17.095,36.409,9.678
"Gambia, The",GMB,Sub-Saharan Africa,49.297,31.507,47.469,14.364,41.698,8.58
Guinea-Bissau,GNB,Sub-Saharan Africa,42.369,25.168,45.429,17.577,36.647,11.9
Equatorial Guinea,GNQ,Sub-Saharan Africa,40.244,27.757,46.67,18.639,34.626,10.594
Greece,GRC,Europe & Central Asia,18.9,7.3,10,9.2,8.5,11.2
Grenada,GRD,Latin America & Caribbean,44.853,12.174,28.415,8.54,19.019,7.117
Guatemala,GTM,Latin America & Caribbean,46.345,19.073,38.366,8.568,26.752,5.339
Guam,GUM,East Asia & Pacific,37.601,8.019,25.615,4.708,17.183,4.855
Guyana,GUY,Latin America & Caribbean,39.024,9.773,32.713,8.897,19.288,8.242
"Hong Kong SAR, China",HKG,East Asia & Pacific,35.923,5.921,12,5.2,8.2,6.3
Honduras,HND,Latin America & Caribbean,50.296,19.834,38.35,6.711,20.881,5.015
Croatia,HRV,Europe & Central Asia,18.4,10,11.6,10.9,8.9,12.9
Haiti,HTI,Latin America & Caribbean,44.211,22.317,37.243,13.099,24.578,8.629
Hungary,HUN,Europe & Central Asia,14.7,10.2,12.1,14,9.4,13.4
